provider,type,what_they_do,value_chain,applicable_function,market,lob,function_capability,inception_year,ranking_2019,rating_2020,num_solutions,source_file,source_sheet,source_row,file_vintage,captured_date,ingestion_date
Safelite,Other,"safelitesolutions.com.  Self service photo options, partnership with CCC to connect to DRP's and identify T/L.  FNOL across all lines of business and through all channels including mobile.  ",P & C Claims,Claims Processing,Both,"All (WC, Auto, Property)",FNOL,1947,Not Evaluated,High,1,F1,Partnership Landscape,57,2020-08-03,2020-08-03,2026-05-27
Sedgewick,TPA,"Begun as a regional claims administrator founded in 1969, Sedgwick has grown into a leading global provider of technology-enabled risk, benefits and integrated business solutions with nearly 27,000 colleagues, located across 65 countries.
Global Solutions : Auto/motor liability, Catastrophe response, Claims administration, Employers’ liability, Engineering, fire + environmental services, General liability, Loss adjusting, Major + complex loss, Marine, Product liability + recall and Technology solutions
Emerging global solutions : Absence management + tracking, Building consulting, Customized client apps, Cyber + technology liability, Global claim intake portal, Repair, restoration + mitigation, Workplace injury management
Industry specialties : Aviation, Construction, Education, Energy, Engineering, Environmental, Fine art + private clients, Healthcare, Hospitality, Lloyd's of London market, Manufacturing, Marine, Mining, Power, Public entity, Real estate, Retail + distribution, Technology, Transportation",P&C Claims,Claims Processing,Both,"All (WC, liability, property, disability, casualty, marine, integrated technology)",Claim Processing,1969,Not Evaluated,High,1,F1,Partnership Landscape,58,2020-08-03,2020-08-03,2026-05-27
Setoo,InsurTech,"Setoo™ is an insurance platform that enables ancillary revenue growth for travel and leisure e-businesses by providing them the ability to create and distribute personalized insurance products that precisely address their customers' concerns. 
Setoo's insurance-as-a-service platform allows e-businesses to independently create and distribute personalized, claims-free insurance products elegantly integrated into the digital customer journey within minutes",Travel & Leisure Underwriting,"Product Management, ",Personal,"Travel
Leisure-E-Businesses",Policy Admin System,2018,Not Evaluated,Low,0,F1,Partnership Landscape,59,2020-08-03,2020-08-03,2026-05-27
Slice,InsurTech,"Slice provides insurance for special products such as Home share, Ride share, Cyber etc.

Additionally provides ""SLICE INSURANCE CLOUD SERVICES™"" and claims to be world’s first on-demand insurance cloud platform. With ICS one can build and launch on-demand insurance products, whether personal or commercial.

Claims to have full, end-to-end insurance value chain capabilities including product integration, configuration, quote, bind, issue, built-in online payment (and refund) capabilities, FNOL and more",P & C Claims,All,"Personal, Commercial","Rideshare, Homeshare, Cyber",Digital Insurer,,Not Evaluated,Medium,2,F1,Partnership Landscape,60,2020-08-03,2020-08-03,2026-05-27
Snapsheet,InsurTech,"A cloud-based SAAS solution used by motor insurance providers to guide claimants through a photo & information gathering process on the scene of an accident. The company was founded in 2010 as BodyShopBids and rebranded as Snapsheet in 2012.  Virtual appraisal platform , payments, managing rental reimbursement",P & C Claims,Claims Processing,Both,Auto,Estimating Software,2011,High,Medium,0,F1,Partnership Landscape,61,2020-08-03,2020-08-03,2026-05-27
Strataware,Other,Strataware s a leading medical bill review and medical management platform used by insurers and claims administrators to lower costs and improve patient outcomes. ,P&C Claims,Claims Processing,Commercial,"All (Workers Compensation, Disability, Auto Casualty)",Medical Mgmt Supplier,1978,Not Evaluated,High,1,F1,Partnership Landscape,62,2020-08-03,2020-08-03,2026-05-27
Sumyag Data Sciences,InsurTech,"Sygnif.ai extracts and delivers contextual business insurance data with complex data structures and tags them.
Symplif.ai automates claim processing by extracting bill information from scans and records.  References Healthcare",P & C Underwriting & Claims,"Underwriting, Claim",Both,Unclear,Content Extraction,2019,Not Evaluated,Medium,4,F1,Partnership Landscape,63,2020-08-03,2020-08-03,2026-05-27
Sure,InsurTech,"Sure is a platform which integrates with Carriers systems to provide digital UW, Claims Processing (incl FNOL), Cloud based policy administration and supports OMNI channels. 
Key clients include CHUBB, Farmers, Assurant",P & C Underwriting & Claims,"Quoting, FNOL, Broker Intake","Personal, Commercial",All,Policy Admin System,2014,Not Evaluated,High,2,F1,Partnership Landscape,64,2020-08-03,2020-08-03,2026-05-27
TensorFlight,InsurTech,"Developer of an AI-assisted underwriting system intended to help users make smarter, data-based underwriting and policy decisions. The company's system adapts and guides users through the underwriting process using an intuitive AI-assistant, insurance-specific computer vision and detailed property and contents reports, enabling commercial and residential properties owners to improve underwriting efficiency, risk management, loss ratio and customer satisfaction",P & C Underwriting,Underwriting,Both,"Property
Energy",Risk Assessment,2013,Not Evaluated,Medium,1,F1,Partnership Landscape,65,2020-08-03,2020-08-03,2026-05-27
Tractable,InsurTech,This insurtech is changing the way car insurers handle claims by applying AI to accident and disaster recovery.  The technology looks at the asset damage and predicts repair costs from photos in real time so claims can be settle faster.  Founded in 2014.  Tractable trains its deep learning technology on over 100 million images to make their models work more accurately.  Creates damage estimates and cost estimates,P & C Claims,Claim Processing,Personal,Auto/Property,Estimating Software,2014,Not Evaluated,Medium,1,F1,Partnership Landscape,66,2020-08-03,2020-08-03,2026-05-27
TrakGlobalGroup,InsurTech,"About Trak Global Group Operating in five countries, Trak Global Group (TGG) is one of the world's largest telematics companies, gathering and interpreting data from connected devices to help organizations manage driver and vehicle risk. They develop hardware and application based connected vehicle data platform.Trak Global Group Limited develops hardware and application based connected vehicle data platform.The Company offers solutions for commercial motors, leasing, carsharing, and corporate fleets. Trak Global Group serves customers worldwide.",P & C Underwriting,"Product Acquisition, Underwriting",Commercial,Auto,Telematics,2016,,Low,0,F1,Partnership Landscape,67,2020-08-03,2020-08-03,2026-05-27
Vpay,Other,"VPay equips insurers with configurable, next-generation digital solutions that streamline every aspect of the claims payment process.  VPay’s mobile expedited claim payment solution is a web-based solution that enables policyholder and multiparty claim payments from any device. Policyholders can quickly review their claim, approve service provider payments, or select a preferred payment type for receiving their own claim payment — all through a convenient mobile solution.","P & C Claims, Finance, Billing","Claims Payment, AP, AR",Both,All,Payment Platform,2002,Not Evaluated,Medium,1,F1,Partnership Landscape,68,2020-08-03,2020-08-03,2026-05-27
Westhill,InsurTech,"Provides digital solutions for P & C focused on delivering exceptional claim experience.  Connects insurance carriers, contractors and policyholders.  Repair and restoration services.  Westhillglobal.com",P & C Claims,Claims Processing,Both,Property,Digital Exchange,2019,Not Evaluated,Low,0,F1,Partnership Landscape,69,2020-08-03,2020-08-03,2026-05-27
Zesty AI,InsurTech,"Zesty harnesses the power of AI to change the way the trillion dollar property insurance industry is assessing risk.  They use the elates advancements I computer vision and deep learning on 115+Bn data points on residential and commercial properties to extract key building features to accurately model the potential impact of both non-catastrophic and catastrophic loss events.  insurance carriers and reinsurers have partnered with Zesty to underwrite risk more accurately, provide their customers a smoother purchasing experience and manage inspections more cost-effectively",P & C Underwriting,New Business,Both,Property,Big Data,,Not Evaluated,Medium,1,F1,Partnership Landscape,70,2020-08-03,2020-08-03,2026-05-27
